Paire 1;Paire 2;Nb arrets
Tram 1;Tram 2;1
Tram 1;Tram 3;1
Tram 1;Bus 4;1
Tram 1;Bus 5;0
Tram 1;Chronobus;9
Tram 1;Inter-lignes tram/busway;35
Tram 1;Nom <7 lettres;5
Tram 1;Nom <10 lettres;15
Tram 1;1 seul mot;20
Tram 1;3 mots ou plus;5
Tram 1;Lettre doublee;12
Tram 1;Dans Nantes;28
Tram 1;Autre commune;7
Tram 1;Nord Loire;35
Tram 1;Sud Loire;0
Tram 1;Moins de 1km du periph;12
Tram 1;Moins de 2 km du periph;21
Tram 1;Moins de 500m eau;3
Tram 1;Moins de 1 km eau;11
Tram 1;Moins de 1 km du chateau;5
Tram 1;Moins de 2 km du chateau;9
Tram 1;Moins de 1 km de la Tour Bretagne;4
Tram 1;Moins de 2 km de la Tour Bretagne;9
Tram 1;Moins de 1 km hippodrome;0
Tram 1;Moins de 2 km hippodrome;1
Tram 1;Moins de 1 km des machines;3
Tram 1;Moins de 2 km des machines;8
Tram 1;Moins de 1 km du stade de la Beaujoire;4
Tram 1;Moins de 2 km du stade de la Beaujoire;6
Tram 1;Moins de 1 km du parc de proce;0
Tram 1;Moins de 2 km du parc de proce;5
Tram 2;Tram 3;6
Tram 2;Bus 4;0
Tram 2;Bus 5;1
Tram 2;Chronobus;9
Tram 2;Inter-lignes tram/busway;25
Tram 2;Nom <7 lettres;2
Tram 2;Nom <10 lettres;10
Tram 2;1 seul mot;9
Tram 2;3 mots ou plus;6
Tram 2;Lettre doublee;9
Tram 2;Dans Nantes;22
Tram 2;Autre commune;3
Tram 2;Nord Loire;20
Tram 2;Sud Loire;2
Tram 2;Moins de 1km du periph;9
Tram 2;Moins de 2 km du periph;11
Tram 2;Moins de 500m eau;12
Tram 2;Moins de 1 km eau;14
Tram 2;Moins de 1 km du chateau;6
Tram 2;Moins de 2 km du chateau;11
Tram 2;Moins de 1 km de la Tour Bretagne;5
Tram 2;Moins de 2 km de la Tour Bretagne;11
Tram 2;Moins de 1 km hippodrome;6
Tram 2;Moins de 2 km hippodrome;10
Tram 2;Moins de 1 km des machines;0
Tram 2;Moins de 2 km des machines;10
Tram 2;Moins de 1 km du stade de la Beaujoire;0
Tram 2;Moins de 2 km du stade de la Beaujoire;0
Tram 2;Moins de 1 km du parc de proce;0
Tram 2;Moins de 2 km du parc de proce;0
Tram 3;Bus 4;0
Tram 3;Bus 5;1
Tram 3;Chronobus;7
Tram 3;Inter-lignes tram/busway;31
Tram 3;Nom <7 lettres;5
Tram 3;Nom <10 lettres;14
Tram 3;1 seul mot;15
Tram 3;3 mots ou plus;5
Tram 3;Lettre doublee;6
Tram 3;Dans Nantes;15
Tram 3;Autre commune;16
Tram 3;Nord Loire;18
Tram 3;Sud Loire;10
Tram 3;Moins de 1km du periph;4
Tram 3;Moins de 2 km du periph;9
Tram 3;Moins de 500m eau;6
Tram 3;Moins de 1 km eau;12
Tram 3;Moins de 1 km du chateau;4
Tram 3;Moins de 2 km du chateau;10
Tram 3;Moins de 1 km de la Tour Bretagne;6
Tram 3;Moins de 2 km de la Tour Bretagne;10
Tram 3;Moins de 1 km hippodrome;0
Tram 3;Moins de 2 km hippodrome;1
Tram 3;Moins de 1 km des machines;0
Tram 3;Moins de 2 km des machines;10
Tram 3;Moins de 1 km du stade de la Beaujoire;0
Tram 3;Moins de 2 km du stade de la Beaujoire;0
Tram 3;Moins de 1 km du parc de proce;1
Tram 3;Moins de 2 km du parc de proce;10
Bus 4;Bus 5;1
Bus 4;Chronobus;2
Bus 4;Inter-lignes tram/busway;15
Bus 4;Nom <7 lettres;0
Bus 4;Nom <10 lettres;4
Bus 4;1 seul mot;7
Bus 4;3 mots ou plus;4
Bus 4;Lettre doublee;3
Bus 4;Dans Nantes;12
Bus 4;Autre commune;3
Bus 4;Nord Loire;3
Bus 4;Sud Loire;9
Bus 4;Moins de 1km du periph;2
Bus 4;Moins de 2 km du periph;6
Bus 4;Moins de 500m eau;6
Bus 4;Moins de 1 km eau;13
Bus 4;Moins de 1 km du chateau;3
Bus 4;Moins de 2 km du chateau;6
Bus 4;Moins de 1 km de la Tour Bretagne;2
Bus 4;Moins de 2 km de la Tour Bretagne;5
Bus 4;Moins de 1 km hippodrome;0
Bus 4;Moins de 2 km hippodrome;0
Bus 4;Moins de 1 km des machines;0
Bus 4;Moins de 2 km des machines;5
Bus 4;Moins de 1 km du stade de la Beaujoire;0
Bus 4;Moins de 2 km du stade de la Beaujoire;0
Bus 4;Moins de 1 km du parc de proce;0
Bus 4;Moins de 2 km du parc de proce;0
Bus 5;Chronobus;3
Bus 5;Inter-lignes tram/busway;15
Bus 5;Nom <7 lettres;2
Bus 5;Nom <10 lettres;7
Bus 5;1 seul mot;8
Bus 5;3 mots ou plus;5
Bus 5;Lettre doublee;1
Bus 5;Dans Nantes;15
Bus 5;Autre commune;0
Bus 5;Nord Loire;2
Bus 5;Sud Loire;0
Bus 5;Moins de 1km du periph;0
Bus 5;Moins de 2 km du periph;0
Bus 5;Moins de 500m eau;13
Bus 5;Moins de 1 km eau;15
Bus 5;Moins de 1 km du chateau;2
Bus 5;Moins de 2 km du chateau;13
Bus 5;Moins de 1 km de la Tour Bretagne;0
Bus 5;Moins de 2 km de la Tour Bretagne;11
Bus 5;Moins de 1 km hippodrome;0
Bus 5;Moins de 2 km hippodrome;0
Bus 5;Moins de 1 km des machines;6
Bus 5;Moins de 2 km des machines;9
Bus 5;Moins de 1 km du stade de la Beaujoire;0
Bus 5;Moins de 2 km du stade de la Beaujoire;0
Bus 5;Moins de 1 km du parc de proce;0
Bus 5;Moins de 2 km du parc de proce;0
Chronobus;Inter-lignes tram/busway;26
Chronobus;Nom <7 lettres;4
Chronobus;Nom <10 lettres;12
Chronobus;1 seul mot;9
Chronobus;3 mots ou plus;7
Chronobus;Lettre doublee;7
Chronobus;Dans Nantes;20
Chronobus;Autre commune;6
Chronobus;Nord Loire;22
Chronobus;Sud Loire;3
Chronobus;Moins de 1km du periph;9
Chronobus;Moins de 2 km du periph;12
Chronobus;Moins de 500m eau;9
Chronobus;Moins de 1 km eau;12
Chronobus;Moins de 1 km du chateau;7
Chronobus;Moins de 2 km du chateau;8
Chronobus;Moins de 1 km de la Tour Bretagne;5
Chronobus;Moins de 2 km de la Tour Bretagne;8
Chronobus;Moins de 1 km hippodrome;1
Chronobus;Moins de 2 km hippodrome;2
Chronobus;Moins de 1 km des machines;1
Chronobus;Moins de 2 km des machines;8
