;Criteria A;Criteria B;Criteria C;Criteria D;Criteria E;Criteria F;Stations AD;Stations AE;Stations AF;Stations BD;Stations BE;Stations BF;Stations CD;Stations CE;Stations CF;Raw_score;Score
0;Commence par une voyelle;Contient une lettre doublee;Nom en 1 seul mot;Moins de 1km du peripherique;Sur 2 lignes ou plus;Termine par un E;2;1;4;8;3;10;12;4;25;31;3.5
1;Commence par une voyelle;Contient une lettre doublee;Termine par un E;Moins de 1km du peripherique;Nom en 1 seul mot;Sur 2 lignes ou plus;2;1;1;8;9;3;8;25;2;35;4.0
2;Contient une lettre doublee;Nom en 1 seul mot;Sur la ligne de Busway 5;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;Termine par un S;9;6;6;7;14;8;1;1;5;32;3.5
3;Contient une lettre doublee;Nom en 1 seul mot;Sur la ligne de Tramway 2;Sur la ligne de Busway 5;Sur la ligne de Tramway 3;Termine par un S;1;6;6;8;14;8;1;6;5;33;3.5
4;Contient une lettre doublee;Nom en 1 seul mot;Sur la ligne de Tramway 3;Sur la ligne de Busway 5;Sur la ligne de Tramway 2;Termine par un S;1;9;6;8;7;8;1;6;5;34;4.0
5;Contient une lettre doublee;Nom en 1 seul mot;Termine par un S;Sur la ligne de Busway 5;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;1;9;6;8;7;14;5;5;5;31;3.5
6;Contient une lettre doublee;Sur la ligne de Busway 5;Sur la ligne de Tramway 2;Nom en 1 seul mot;Sur la ligne de Tramway 3;Termine par un S;9;6;6;8;1;5;7;6;5;34;4.0
7;Contient une lettre doublee;Sur la ligne de Busway 5;Sur la ligne de Tramway 3;Nom en 1 seul mot;Sur la ligne de Tramway 2;Termine par un S;9;9;6;8;1;5;14;6;5;31;3.5
8;Contient une lettre doublee;Sur la ligne de Busway 5;Termine par un S;Nom en 1 seul mot;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;9;9;6;8;1;1;8;5;5;34;4.0
9;Contient une lettre doublee;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;Nom en 1 seul mot;Sur la ligne de Busway 5;Termine par un S;9;1;6;7;1;5;14;1;5;34;4.0
10;Contient une lettre doublee;Sur la ligne de Tramway 2;Termine par un S;Nom en 1 seul mot;Sur la ligne de Busway 5;Sur la ligne de Tramway 3;9;1;6;7;1;6;8;5;5;35;4.0
11;Contient une lettre doublee;Sur la ligne de Tramway 3;Termine par un S;Nom en 1 seul mot;Sur la ligne de Busway 5;Sur la ligne de Tramway 2;9;1;9;14;1;6;8;5;5;32;3.5
12;En correspondance avec un Chronobus;Moins de 1 km d une riviere;Moins de 1km du peripherique;Nom de 9 lettres ou moins;Nom en 1 seul mot;Sur la ligne de Tramway 1;13;10;9;24;27;14;11;12;12;15;1.5
13;En correspondance avec un Chronobus;Moins de 1 km d une riviere;Nom de 9 lettres ou moins;Moins de 1km du peripherique;Nom en 1 seul mot;Sur la ligne de Tramway 1;9;10;9;5;27;14;11;36;15;18;2.0
14;En correspondance avec un Chronobus;Moins de 1 km d une riviere;Nom en 1 seul mot;Moins de 1km du peripherique;Nom de 9 lettres ou moins;Sur la ligne de Tramway 1;9;13;9;5;24;14;12;36;20;17;2.0
15;En correspondance avec un Chronobus;Moins de 1 km d une riviere;Sur la ligne de Tramway 1;Moins de 1km du peripherique;Nom de 9 lettres ou moins;Nom en 1 seul mot;9;13;10;5;24;27;12;15;20;16;2.0
16;En correspondance avec un Chronobus;Moins de 1km du peripherique;Nom de 9 lettres ou moins;Moins de 1 km d une riviere;Nom en 1 seul mot;Sur la ligne de Tramway 1;14;10;9;5;12;12;24;36;15;17;2.0
17;En correspondance avec un Chronobus;Moins de 1km du peripherique;Nom en 1 seul mot;Moins de 1 km d une riviere;Nom de 9 lettres ou moins;Sur la ligne de Tramway 1;14;13;9;5;11;12;27;36;20;16;2.0
18;En correspondance avec un Chronobus;Moins de 1km du peripherique;Sur la ligne de Tramway 1;Moins de 1 km d une riviere;Nom de 9 lettres ou moins;Nom en 1 seul mot;14;13;10;5;11;12;14;15;20;15;1.5
19;En correspondance avec un Chronobus;Nom de 9 lettres ou moins;Nom en 1 seul mot;Moins de 1 km d une riviere;Moins de 1km du peripherique;Sur la ligne de Tramway 1;14;9;9;24;11;15;27;12;20;15;1.5
20;En correspondance avec un Chronobus;Nom de 9 lettres ou moins;Sur la ligne de Tramway 1;Moins de 1 km d une riviere;Moins de 1km du peripherique;Nom en 1 seul mot;14;9;10;24;11;36;14;12;20;14;1.5
21;En correspondance avec un Chronobus;Nom en 1 seul mot;Sur la ligne de Tramway 1;Moins de 1 km d une riviere;Moins de 1km du peripherique;Nom de 9 lettres ou moins;14;9;13;27;12;36;14;12;15;13;1.5
22;Ile de Nantes;Moins de 1km du peripherique;Moins de 2 km des machines;Moins de 1 km d une riviere;Nom de 9 lettres ou moins;Terminus de ligne;16;7;1;5;11;7;31;11;3;26;3.0
23;Moins de 1 km du chateau;Ne contient pas de E;Nom en 1 seul mot;Sur la ligne de Busway 4;Sur la ligne de Tramway 1;Sur la ligne de Tramway 2;3;5;6;1;5;4;7;20;7;33;3.5
24;Moins de 1 km du chateau;Ne contient pas de E;Sur la ligne de Tramway 1;Nom en 1 seul mot;Sur la ligne de Busway 4;Sur la ligne de Tramway 2;5;3;6;12;1;4;20;1;1;35;4.0
25;Moins de 1 km du chateau;Nom en 1 seul mot;Sur la ligne de Tramway 1;Ne contient pas de E;Sur la ligne de Busway 4;Sur la ligne de Tramway 2;1;3;6;12;7;7;5;1;1;36;4.0
26;Moins de 1 km du chateau;Sur la ligne de Busway 4;Sur la ligne de Tramway 2;Ne contient pas de E;Nom en 1 seul mot;Sur la ligne de Tramway 1;1;5;5;1;7;1;4;7;1;38;4.0
27;Commence par une voyelle;Moins de 2 km des machines;Sur la ligne de Tramway 3;Moins de 1 km du chateau;Sur 2 lignes ou plus;Sur une autre commune que Nantes;1;1;3;11;8;2;4;6;16;34;4.0
28;Commence par un B;Commence par une voyelle;Contient un H;Moins de 1 km d une riviere;Nom en 3 mots ou plus;Sur la ligne de Busway 5;8;1;1;2;4;1;13;6;3;37;4.0
29;Contient un P;Nom en 3 mots ou plus;Termine par un S;Moins de 1km du peripherique;Sur 2 lignes ou plus;Terminus de ligne;3;1;3;5;2;4;4;2;1;42;4.5
30;Contient un P;Nom en 1 seul mot;Nom en 3 mots ou plus;Nord Loire;Sur 2 lignes ou plus;Sur une autre commune que Nantes;10;1;7;32;4;13;14;2;6;26;3.0
31;Contient un P;Sur 2 lignes ou plus;Sur une autre commune que Nantes;Nom en 1 seul mot;Nom en 3 mots ou plus;Nord Loire;7;8;10;4;2;3;13;6;16;28;3.0
32;En correspondance avec un Chronobus;Moins de 1km du peripherique;Sur 2 lignes ou plus;Situe dans Nantes;Sud Loire;Termine par un S;21;3;5;13;4;4;8;1;2;32;3.5
33;En correspondance avec un Chronobus;Situe dans Nantes;Sud Loire;Moins de 1km du peripherique;Sur 2 lignes ou plus;Termine par un S;9;3;5;13;8;19;4;1;5;30;3.5
34;En correspondance avec un Chronobus;Situe dans Nantes;Termine par un S;Moins de 1km du peripherique;Sud Loire;Sur 2 lignes ou plus;9;3;3;13;7;8;4;5;2;33;3.5
35;En correspondance avec un Chronobus;Sud Loire;Termine par un S;Moins de 1km du peripherique;Situe dans Nantes;Sur 2 lignes ou plus;9;21;3;4;7;1;4;19;2;31;3.5
36;Moins de 1 km de la Tour Bretagne;Moins de 1 km du chateau;Nom en 3 mots ou plus;Sur la ligne de Busway 4;Sur la ligne de Tramway 3;Terminus de ligne;2;6;1;3;4;2;4;5;4;40;4.5
37;Moins de 1 km de la Tour Bretagne;Moins de 1 km du chateau;Terminus de ligne;Nom en 3 mots ou plus;Sur la ligne de Busway 4;Sur la ligne de Tramway 3;2;2;6;4;3;4;4;2;2;41;4.5
38;Moins de 1 km de la Tour Bretagne;Nom en 3 mots ou plus;Terminus de ligne;Moins de 1 km du chateau;Sur la ligne de Busway 4;Sur la ligne de Tramway 3;10;2;6;4;4;5;2;2;2;38;4.0
39;Moins de 1 km de la Tour Bretagne;Sur la ligne de Busway 4;Sur la ligne de Tramway 3;Moins de 1 km du chateau;Nom en 3 mots ou plus;Terminus de ligne;10;2;1;3;4;2;4;5;2;39;4.5
40;Commence par un B;Contient une lettre doublee;Sur la ligne de Busway 4;Ile de Nantes;Moins de 1 km du chateau;Nord Loire;1;3;10;2;3;21;3;3;3;38;4.0
41;Commence par un M;Commence par une voyelle;Sur la ligne de Busway 5;Nom en 3 mots ou plus;Nord Loire;Sur la ligne de Tramway 3;3;9;2;4;6;3;5;3;1;40;4.5
42;Commence par un M;Contient un P;Contient une lettre doublee;Situe dans Nantes;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;10;4;2;13;4;8;22;9;6;27;3.0
43;Commence par un M;Contient un P;Situe dans Nantes;Contient une lettre doublee;Sur la ligne de Tramway 2;Sur la ligne de Tramway 3;4;4;2;5;4;8;22;22;15;27;3.0
44;Commence par un M;Contient un P;Sur la ligne de Tramway 2;Contient une lettre doublee;Situe dans Nantes;Sur la ligne de Tramway 3;4;10;2;5;13;8;9;22;6;27;3.0
45;Commence par un M;Contient un P;Sur la ligne de Tramway 3;Contient une lettre doublee;Situe dans Nantes;Sur la ligne de Tramway 2;4;10;4;5;13;4;6;15;6;28;3.0
